application_id,property_id,tenant_id,application_date,application_status,screening_completed,lease_signed,decision_time_days
A00000001,P0000001,T0033115,2023-02-09,pending,True,False,3.862195085759221
A00000002,P0000001,T0137112,2023-02-01,rejected,False,False,1.874850075347687
A00000003,P0000001,T0110362,2023-01-31,rejected,True,False,0.8148544719853702
A00000004,P0000002,T0105840,2023-01-30,leased,True,True,2.7029530937808857
A00000005,P0000003,T0027935,2023-02-27,leased,True,True,0.5831877795286498
A00000006,P0000003,T0018162,2023-02-02,leased,False,True,3.0595945964691236
A00000007,P0000003,T0122623,2023-02-14,leased,True,True,5.755162295526303
A00000008,P0000004,T0098632,2023-02-12,rejected,True,False,0.5
A00000009,P0000004,T0099594,2023-02-14,leased,True,True,6.4601421110667765
A00000010,P0000005,T0112178,2023-02-24,pending,True,False,5.333159648222446
A00000011,P0000005,T0035776,2023-02-16,leased,True,True,0.8165936829595523
A00000012,P0000005,T0064282,2023-02-15,leased,True,True,1.6699545423665465
A00000013,P0000008,T0073044,2023-02-09,pending,True,False,3.294959849760736
A00000014,P0000008,T0129862,2023-02-08,pending,False,False,2.6835095847229553
A00000015,P0000008,T0015398,2023-01-25,withdrawn,False,False,0.5
A00000016,P0000011,T0122935,2023-07-16,pending,False,False,1.3131858110179169
A00000017,P0000011,T0032696,2023-06-16,withdrawn,False,False,0.5
A00000018,P0000016,T0129457,2023-05-30,leased,True,True,1.9553123369014749
A00000019,P0000016,T0129376,2023-05-29,leased,True,True,0.770833573490493
A00000020,P0000016,T0069348,2023-05-30,leased,False,True,4.078505338149928
A00000021,P0000017,T0022464,2023-05-23,rejected,False,False,3.560616675169353
A00000022,P0000021,T0042526,2023-06-09,pending,True,False,3.15708573222913
A00000023,P0000022,T0126305,2023-06-04,leased,True,True,2.983573426414215
A00000024,P0000022,T0043069,2023-05-23,leased,True,True,1.6727316503314793
A00000025,P0000024,T0147355,2023-06-14,rejected,True,False,0.6968294565860373
A00000026,P0000024,T0041664,2023-06-02,withdrawn,False,False,0.8576787878823027
A00000027,P0000025,T0034106,2023-06-08,leased,True,True,3.7922380882654596
A00000028,P0000030,T0015346,2023-10-02,pending,True,False,1.2850815736505852
A00000029,P0000030,T0000137,2023-09-27,withdrawn,True,False,2.366569702678416
A00000030,P0000030,T0066136,2023-10-02,pending,False,False,5.748318252218886
A00000031,P0000030,T0112053,2023-11-01,rejected,True,False,1.5815682447387571
A00000032,P0000030,T0103084,2023-09-27,withdrawn,True,False,1.0485882393918409
A00000033,P0000031,T0075947,2025-07-22,leased,True,True,2.6374961460958417
A00000034,P0000031,T0032501,2025-07-11,rejected,True,False,3.5284027484116334
A00000035,P0000031,T0056487,2025-07-29,leased,True,True,5.50390076896274
A00000036,P0000031,T0054325,2025-07-13,leased,True,True,1.8582374637238925
A00000037,P0000032,T0045148,2024-07-09,rejected,True,False,2.3490447944815482
A00000038,P0000032,T0083649,2024-06-16,pending,True,False,0.8553615170639621
A00000039,P0000033,T0124177,2022-11-21,withdrawn,True,False,1.9902294092242259
A00000040,P0000033,T0053179,2022-11-18,rejected,True,False,4.537270329795191
A00000041,P0000033,T0113787,2022-11-22,leased,True,True,1.0548762788510895
A00000042,P0000033,T0015613,2022-11-24,withdrawn,False,False,1.491981633037433
A00000043,P0000036,T0010721,2022-11-29,pending,True,False,4.547644308032682
A00000044,P0000036,T0030327,2022-12-08,pending,True,False,1.8323539369782245
A00000045,P0000037,T0058886,2022-11-30,rejected,True,False,2.593711212830998
A00000046,P0000037,T0055673,2022-12-03,withdrawn,False,False,5.511595472872886
A00000047,P0000037,T0044459,2022-12-05,pending,False,False,2.3880116071821593
A00000048,P0000038,T0127848,2022-12-05,pending,False,False,7.390027614711778
A00000049,P0000039,T0092418,2022-11-18,rejected,False,False,7.759517440926247
A00000050,P0000039,T0022098,2022-11-29,leased,True,True,2.5697587635428727
