user_id,experiment_name,variant,exposure_date,activation_7d,paid_conversion_30d
L000009,guided_property_onboarding,control,2025-03-02,False,False
L000049,guided_property_onboarding,control,2025-03-11,True,False
L000070,guided_property_onboarding,treatment,2025-04-15,False,False
L000072,guided_property_onboarding,treatment,2025-03-23,False,False
L000075,guided_property_onboarding,control,2025-03-21,True,False
L000084,guided_property_onboarding,treatment,2025-03-12,False,False
L000109,guided_property_onboarding,control,2025-05-21,False,False
L000118,guided_property_onboarding,treatment,2025-03-19,False,False
L000138,guided_property_onboarding,control,2025-03-25,True,False
L000143,guided_property_onboarding,treatment,2025-04-23,True,False
L000157,guided_property_onboarding,treatment,2025-04-15,False,False
L000168,guided_property_onboarding,treatment,2025-05-03,True,False
L000178,guided_property_onboarding,treatment,2025-05-21,True,False
L000205,guided_property_onboarding,control,2025-05-27,False,False
L000217,guided_property_onboarding,control,2025-03-07,False,False
L000227,guided_property_onboarding,treatment,2025-04-23,False,False
L000249,guided_property_onboarding,treatment,2025-03-29,False,False
L000271,guided_property_onboarding,treatment,2025-04-02,True,False
L000273,guided_property_onboarding,treatment,2025-05-02,True,False
L000279,guided_property_onboarding,control,2025-05-12,False,False
L000289,guided_property_onboarding,control,2025-03-19,False,False
L000295,guided_property_onboarding,treatment,2025-05-29,True,False
L000299,guided_property_onboarding,control,2025-04-26,True,False
L000343,guided_property_onboarding,treatment,2025-05-27,True,True
L000350,guided_property_onboarding,treatment,2025-03-10,False,False
L000355,guided_property_onboarding,treatment,2025-05-15,False,False
L000357,guided_property_onboarding,control,2025-03-27,False,False
L000358,guided_property_onboarding,control,2025-05-26,True,False
L000378,guided_property_onboarding,treatment,2025-04-01,False,False
L000398,guided_property_onboarding,control,2025-05-06,False,False
L000451,guided_property_onboarding,treatment,2025-05-13,True,False
L000461,guided_property_onboarding,treatment,2025-04-18,True,False
L000475,guided_property_onboarding,treatment,2025-03-03,False,False
L000481,guided_property_onboarding,treatment,2025-04-28,False,False
L000522,guided_property_onboarding,treatment,2025-05-12,False,False
L000523,guided_property_onboarding,treatment,2025-05-16,True,False
L000536,guided_property_onboarding,treatment,2025-03-07,False,False
L000538,guided_property_onboarding,control,2025-03-09,False,False
L000548,guided_property_onboarding,treatment,2025-03-25,True,False
L000574,guided_property_onboarding,control,2025-05-28,True,False
L000579,guided_property_onboarding,control,2025-03-16,True,False
L000586,guided_property_onboarding,control,2025-03-16,True,False
L000591,guided_property_onboarding,treatment,2025-04-10,False,False
L000598,guided_property_onboarding,treatment,2025-04-26,True,True
L000603,guided_property_onboarding,treatment,2025-05-12,False,False
L000607,guided_property_onboarding,control,2025-05-04,True,False
L000619,guided_property_onboarding,control,2025-05-10,True,False
L000626,guided_property_onboarding,control,2025-04-15,True,False
L000629,guided_property_onboarding,treatment,2025-04-17,False,False
L000635,guided_property_onboarding,treatment,2025-03-28,False,False
