landlord_id,signup_date,acquisition_channel,metro_id,portfolio_size,experience_level,signup_device,activated_7d,time_to_first_property_days,first_feature_adopted,subscription_plan,subscription_start_date,churn_date,is_paid
L000001,2023-01-25,referral,M020,18,professional,mobile,True,2.5736659094294096,listing_tools,free,,2023-06-01,False
L000002,2023-05-15,paid_social,M010,34,professional,mobile,True,28.798107366917804,listing_tools,free,,,False
L000003,2023-09-04,content_seo,M014,4,occasional,desktop,True,3.19482358837859,tenant_screening,starter,2023-09-10,2023-12-07,True
L000004,2023-09-01,referral,M003,1,first_time,desktop,False,,,free,,,False
L000005,2025-06-18,organic_search,M012,3,occasional,mobile,True,4.855562837378089,listing_tools,free,,,False
L000006,2024-06-01,partnerships,M010,2,occasional,desktop,True,0.5453395817158445,maintenance_tracking,free,,,False
L000007,2022-11-14,referral,M012,12,professional,desktop,True,3.9524261257437447,online_rent_collection,free,,2023-02-17,False
L000008,2024-09-03,referral,M004,26,professional,mobile,False,,,free,,,False
L000009,2025-03-02,organic_search,M020,2,first_time,mobile,False,,,free,,,False
L000010,2023-03-14,paid_social,M002,5,occasional,mobile,True,2.1538636711737644,listing_tools,free,,2023-05-27,False
L000011,2022-02-09,paid_social,M018,1,first_time,desktop,True,2.7047300472471454,e_signatures,pro,2022-02-11,2022-03-04,True
L000012,2024-10-22,partnerships,M024,15,professional,desktop,False,,,free,,,False
L000013,2022-10-18,paid_search,M002,2,first_time,mobile,False,,,free,,,False
L000014,2022-07-03,content_seo,M011,1,first_time,mobile,False,,,free,,,False
L000015,2024-07-01,paid_social,M014,3,occasional,desktop,False,,,free,,,False
L000016,2023-05-08,organic_search,M025,2,first_time,desktop,False,,,free,,,False
L000017,2025-11-16,paid_search,M020,1,first_time,mobile,False,,,free,,,False
L000018,2024-12-12,organic_search,M010,18,professional,desktop,True,3.903460671613484,listing_tools,free,,2024-12-27,False
L000019,2024-08-19,content_seo,M025,3,occasional,mobile,False,,,free,,,False
L000020,2024-07-07,paid_search,M007,2,first_time,mobile,True,8.41021438251609,maintenance_tracking,pro,2024-07-16,,True
L000021,2024-03-09,referral,M007,1,first_time,mobile,True,2.6467442446897587,maintenance_tracking,free,,2024-03-24,False
L000022,2024-12-15,paid_social,M012,2,first_time,mobile,True,6.628383632385174,listing_tools,free,,,False
L000023,2023-12-31,partnerships,M018,29,professional,tablet,True,5.084315874725101,maintenance_tracking,starter,2024-01-11,,True
L000024,2024-01-21,content_seo,M004,2,occasional,desktop,True,1.7333472521209072,e_signatures,free,,,False
L000025,2023-03-23,referral,M017,2,first_time,mobile,False,,,free,,,False
L000026,2024-05-01,organic_search,M001,2,first_time,mobile,False,,,free,,,False
L000027,2024-06-13,paid_social,M006,15,professional,mobile,False,,,free,,,False
L000028,2025-10-08,organic_search,M025,17,professional,desktop,True,2.507807592696754,listing_tools,starter,2025-10-10,,True
L000029,2022-08-12,organic_search,M015,14,professional,desktop,False,,,free,,,False
L000030,2024-07-17,referral,M011,2,first_time,mobile,False,,,free,,,False
L000031,2025-07-05,referral,M017,2,first_time,desktop,False,,,free,,,False
L000032,2024-10-11,partnerships,M011,1,first_time,mobile,False,,,free,,,False
L000033,2023-08-23,paid_social,M003,27,professional,mobile,False,,,free,,,False
L000034,2025-08-13,paid_social,M012,2,occasional,desktop,True,10.323144080930563,online_rent_collection,free,,2025-12-31,False
L000035,2023-05-08,paid_social,M024,21,professional,desktop,False,,,free,,,False
L000036,2025-12-18,organic_search,M006,3,occasional,mobile,True,4.910657580017427,tenant_screening,free,,,False
L000037,2024-04-13,organic_search,M001,1,first_time,mobile,False,,,free,,,False
L000038,2024-05-03,paid_social,M017,1,first_time,mobile,False,,,free,,,False
L000039,2025-02-20,organic_search,M011,6,professional,tablet,False,,,free,,,False
L000040,2024-11-22,referral,M007,28,professional,mobile,False,,,free,,,False
L000041,2025-11-27,paid_social,M012,2,occasional,mobile,False,,,free,,,False
L000042,2023-10-17,content_seo,M023,1,first_time,desktop,False,,,free,,,False
L000043,2022-11-01,referral,M005,2,first_time,mobile,False,,,free,,,False
L000044,2024-02-16,paid_social,M004,1,first_time,desktop,False,,,free,,,False
L000045,2023-01-18,content_seo,M012,1,first_time,desktop,False,,,free,,,False
L000046,2024-12-21,content_seo,M011,5,occasional,tablet,False,,,free,,,False
L000047,2023-05-14,paid_social,M003,3,occasional,mobile,False,,,free,,,False
L000048,2024-02-19,paid_social,M014,1,first_time,desktop,False,,,free,,,False
L000049,2025-03-11,referral,M013,16,professional,mobile,True,3.5550191996363543,online_rent_collection,free,,,False
L000050,2022-09-02,organic_search,M014,5,occasional,mobile,True,3.661401967535836,listing_tools,free,,2023-04-13,False
