metro_id,metro_name,month,median_listing_price,active_listing_count,new_listing_count,median_days_on_market,demand_score,supply_score,hotness_score
M001,"Austin, TX",2016-07-01,507500.0,5542,1675,36.0,86.2,52.5,78.1
M001,"Austin, TX",2016-08-01,502200.0,5934,1299,36.2,73.0,54.9,71.4
M001,"Austin, TX",2016-09-01,520200.0,5444,1584,28.2,70.6,45.8,73.5
M001,"Austin, TX",2016-10-01,512400.0,5425,1009,36.4,76.7,42.4,73.2
M001,"Austin, TX",2016-11-01,521700.0,5658,1425,29.7,77.1,50.1,76.2
M001,"Austin, TX",2016-12-01,535600.0,5798,1343,35.7,86.4,52.1,78.3
M001,"Austin, TX",2017-01-01,565900.0,5370,1350,30.9,84.9,61.8,79.6
M001,"Austin, TX",2017-02-01,555300.0,5444,1367,33.2,96.3,58.8,84.3
M001,"Austin, TX",2017-03-01,568000.0,5195,1170,35.0,90.4,54.7,80.6
M001,"Austin, TX",2017-04-01,599000.0,5595,1481,36.6,84.0,55.6,76.8
M001,"Austin, TX",2017-05-01,556800.0,5186,1225,39.4,90.2,48.4,78.7
M001,"Austin, TX",2017-06-01,549500.0,5684,1718,33.9,81.5,61.3,76.6
M001,"Austin, TX",2017-07-01,559700.0,5579,1449,34.8,87.1,52.9,79.1
M001,"Austin, TX",2017-08-01,533300.0,5894,1790,35.0,72.1,54.9,71.5
M001,"Austin, TX",2017-09-01,528700.0,6177,1144,35.7,80.3,53.3,75.3
M001,"Austin, TX",2017-10-01,559800.0,5791,1062,30.6,79.4,46.6,76.9
M001,"Austin, TX",2017-11-01,523600.0,5585,1340,36.5,90.7,50.8,80.2
M001,"Austin, TX",2017-12-01,566500.0,5563,1278,35.1,81.0,58.5,75.9
M001,"Austin, TX",2018-01-01,606400.0,5065,915,35.9,79.2,56.3,74.6
M001,"Austin, TX",2018-02-01,596600.0,5474,996,36.2,83.4,54.4,76.6
M001,"Austin, TX",2018-03-01,582500.0,4883,1014,27.3,91.2,46.3,84.2
M001,"Austin, TX",2018-04-01,631600.0,4999,1138,36.3,78.6,61.2,74.2
M001,"Austin, TX",2018-05-01,633500.0,5323,1346,35.2,79.6,60.5,75.2
M001,"Austin, TX",2018-06-01,582400.0,5492,1305,33.3,75.6,61.3,73.9
M001,"Austin, TX",2018-07-01,574000.0,5945,1279,33.0,77.9,52.2,75.2
M001,"Austin, TX",2018-08-01,566100.0,5684,1340,30.3,73.6,63.3,74.2
M001,"Austin, TX",2018-09-01,552200.0,5529,1082,32.7,84.0,47.7,78.4
M001,"Austin, TX",2018-10-01,567200.0,5609,1764,38.7,77.6,55.4,72.6
M001,"Austin, TX",2018-11-01,573200.0,5800,1378,35.2,74.0,48.9,72.3
M001,"Austin, TX",2018-12-01,631400.0,5367,1568,35.7,79.8,52.5,75.0
M001,"Austin, TX",2019-01-01,639800.0,5260,961,35.9,90.4,58.4,80.2
M001,"Austin, TX",2019-02-01,651400.0,5073,1332,39.6,91.2,54.3,79.1
M001,"Austin, TX",2019-03-01,662300.0,5378,1373,39.5,84.7,62.6,75.9
M001,"Austin, TX",2019-04-01,625200.0,5445,1010,39.3,95.7,62.4,81.5
M001,"Austin, TX",2019-05-01,616600.0,4890,1098,31.7,84.4,59.2,79.0
M001,"Austin, TX",2019-06-01,591900.0,4925,1436,36.0,80.8,55.2,75.4
M001,"Austin, TX",2019-07-01,590800.0,5242,1412,31.9,71.3,57.5,72.3
M001,"Austin, TX",2019-08-01,594100.0,5910,1728,33.2,72.7,50.6,72.5
M001,"Austin, TX",2019-09-01,596100.0,5608,1030,37.2,87.1,48.0,78.1
M001,"Austin, TX",2019-10-01,616200.0,5766,1242,30.0,75.4,58.7,75.2
M001,"Austin, TX",2019-11-01,615200.0,5694,1553,40.4,79.4,44.0,72.9
M001,"Austin, TX",2019-12-01,625200.0,4964,1065,33.1,79.3,61.7,75.9
M001,"Austin, TX",2020-01-01,661300.0,5028,1116,40.3,85.3,55.2,75.8
M001,"Austin, TX",2020-02-01,676200.0,5230,1000,38.0,87.4,49.8,77.9
M001,"Austin, TX",2020-03-01,695800.0,4999,1030,30.7,86.3,55.0,80.4
M001,"Austin, TX",2020-04-01,655900.0,5669,1597,33.9,90.2,56.9,81.0
M001,"Austin, TX",2020-05-01,618900.0,5408,1366,36.1,79.1,53.7,74.5
M001,"Austin, TX",2020-06-01,651200.0,5833,1782,35.8,89.6,52.2,79.9
M001,"Austin, TX",2020-07-01,630300.0,5156,1647,39.7,84.1,58.3,75.5
M001,"Austin, TX",2020-08-01,628000.0,5855,1205,35.0,77.9,62.6,74.4
