event_id,user_id,user_type,event_timestamp,event_name,property_id,session_id,device_type,traffic_source
1,L000001,landlord,2023-01-25,account_created,,S6688922,mobile,referral
2,L000001,landlord,2023-01-25,property_added,P0000001,S6688922,mobile,referral
3,L000001,landlord,2023-01-28,listing_published,P0000001,S6688922,mobile,referral
4,L000001,landlord,2023-01-25,property_added,P0000002,S6688922,mobile,referral
5,L000001,landlord,2023-01-29,listing_published,P0000002,S6688922,mobile,referral
6,L000001,landlord,2023-02-02,tenant_invited,P0000002,S6688922,mobile,referral
7,L000001,landlord,2023-01-29,property_added,P0000003,S6688922,mobile,referral
8,L000001,landlord,2023-02-02,listing_published,P0000003,S6688922,mobile,referral
9,L000001,landlord,2023-02-05,property_added,P0000004,S6688922,mobile,referral
10,L000001,landlord,2023-02-11,listing_published,P0000004,S6688922,mobile,referral
11,L000001,landlord,2023-02-11,tenant_invited,P0000004,S6688922,mobile,referral
12,L000001,landlord,2023-02-09,property_added,P0000005,S6688922,mobile,referral
13,L000001,landlord,2023-02-12,listing_published,P0000005,S6688922,mobile,referral
14,L000001,landlord,2023-01-29,property_added,P0000006,S6688922,mobile,referral
15,L000001,landlord,2023-01-30,listing_published,P0000006,S6688922,mobile,referral
16,L000001,landlord,2023-02-03,tenant_invited,P0000006,S6688922,mobile,referral
17,L000001,landlord,2023-01-26,property_added,P0000007,S6688922,mobile,referral
18,L000001,landlord,2023-01-25,property_added,P0000008,S6688922,mobile,referral
19,L000001,landlord,2023-01-25,listing_published,P0000008,S6688922,mobile,referral
20,L000001,landlord,2023-02-05,tenant_invited,P0000008,S6688922,mobile,referral
21,L000002,landlord,2023-05-15,account_created,,S239591,mobile,paid_social
22,L000002,landlord,2023-05-19,property_added,P0000009,S239591,mobile,paid_social
23,L000002,landlord,2023-05-23,listing_published,P0000009,S239591,mobile,paid_social
24,L000002,landlord,2023-05-20,property_added,P0000010,S239591,mobile,paid_social
25,L000002,landlord,2023-05-19,property_added,P0000011,S239591,mobile,paid_social
26,L000002,landlord,2023-05-25,listing_published,P0000011,S239591,mobile,paid_social
27,L000002,landlord,2023-06-02,tenant_invited,P0000011,S239591,mobile,paid_social
28,L000002,landlord,2023-05-20,property_added,P0000012,S239591,mobile,paid_social
29,L000002,landlord,2023-05-19,property_added,P0000013,S239591,mobile,paid_social
30,L000002,landlord,2023-05-23,property_added,P0000014,S239591,mobile,paid_social
31,L000002,landlord,2023-05-17,property_added,P0000015,S239591,mobile,paid_social
32,L000002,landlord,2023-05-20,property_added,P0000016,S239591,mobile,paid_social
33,L000002,landlord,2023-05-25,listing_published,P0000016,S239591,mobile,paid_social
34,L000002,landlord,2023-05-21,property_added,P0000017,S239591,mobile,paid_social
35,L000002,landlord,2023-05-22,listing_published,P0000017,S239591,mobile,paid_social
36,L000002,landlord,2023-05-22,tenant_invited,P0000017,S239591,mobile,paid_social
37,L000002,landlord,2023-05-22,property_added,P0000018,S239591,mobile,paid_social
38,L000002,landlord,2023-05-24,property_added,P0000019,S239591,mobile,paid_social
39,L000002,landlord,2023-05-15,property_added,P0000020,S239591,mobile,paid_social
40,L000002,landlord,2023-05-23,property_added,P0000021,S239591,mobile,paid_social
41,L000002,landlord,2023-05-25,listing_published,P0000021,S239591,mobile,paid_social
42,L000002,landlord,2023-06-02,tenant_invited,P0000021,S239591,mobile,paid_social
43,L000002,landlord,2023-05-19,property_added,P0000022,S239591,mobile,paid_social
44,L000002,landlord,2023-05-20,listing_published,P0000022,S239591,mobile,paid_social
45,L000002,landlord,2023-05-21,tenant_invited,P0000022,S239591,mobile,paid_social
46,L000002,landlord,2023-05-18,property_added,P0000023,S239591,mobile,paid_social
47,L000002,landlord,2023-05-22,property_added,P0000024,S239591,mobile,paid_social
48,L000002,landlord,2023-05-27,listing_published,P0000024,S239591,mobile,paid_social
49,L000002,landlord,2023-05-21,property_added,P0000025,S239591,mobile,paid_social
50,L000002,landlord,2023-05-27,listing_published,P0000025,S239591,mobile,paid_social
