property_id,landlord_id,metro_id,property_type,bedroom_count,monthly_rent,date_added,listing_publish_date,occupancy_status
P0000001,L000001,M020,apartment,2,1093,2023-01-25,2023-01-28,occupied
P0000002,L000001,M020,townhouse,3,1220,2023-01-25,2023-01-29,occupied
P0000003,L000001,M020,single_family,1,2077,2023-01-29,2023-02-02,vacant
P0000004,L000001,M020,single_family,5,1977,2023-02-05,2023-02-11,vacant
P0000005,L000001,M020,apartment,3,862,2023-02-09,2023-02-12,vacant
P0000006,L000001,M020,apartment,4,959,2023-01-29,2023-01-30,occupied
P0000007,L000001,M020,townhouse,3,745,2023-01-26,,occupied
P0000008,L000001,M020,condo,1,1460,2023-01-25,2023-01-25,occupied
P0000009,L000002,M010,townhouse,3,966,2023-05-19,2023-05-23,occupied
P0000010,L000002,M010,apartment,4,1033,2023-05-20,,pending
P0000011,L000002,M010,apartment,1,1561,2023-05-19,2023-05-25,occupied
P0000012,L000002,M010,townhouse,4,952,2023-05-20,,occupied
P0000013,L000002,M010,apartment,4,931,2023-05-19,,vacant
P0000014,L000002,M010,townhouse,1,1249,2023-05-23,,vacant
P0000015,L000002,M010,single_family,3,993,2023-05-17,,occupied
P0000016,L000002,M010,single_family,5,1797,2023-05-20,2023-05-25,occupied
P0000017,L000002,M010,single_family,1,986,2023-05-21,2023-05-22,vacant
P0000018,L000002,M010,single_family,4,1636,2023-05-22,,occupied
P0000019,L000002,M010,single_family,5,1081,2023-05-24,,occupied
P0000020,L000002,M010,condo,5,1233,2023-05-15,,occupied
P0000021,L000002,M010,condo,3,1338,2023-05-23,2023-05-25,occupied
P0000022,L000002,M010,single_family,2,1433,2023-05-19,2023-05-20,occupied
P0000023,L000002,M010,single_family,4,1553,2023-05-18,,occupied
P0000024,L000002,M010,single_family,3,1503,2023-05-22,2023-05-27,vacant
P0000025,L000002,M010,condo,2,833,2023-05-21,2023-05-27,occupied
P0000026,L000002,M010,single_family,3,1228,2023-05-18,,vacant
P0000027,L000002,M010,single_family,4,1052,2023-05-17,,vacant
P0000028,L000002,M010,townhouse,5,1379,2023-05-16,,pending
P0000029,L000002,M010,apartment,4,978,2023-05-20,,occupied
P0000030,L000003,M014,single_family,5,1690,2023-09-24,2023-09-26,occupied
P0000031,L000005,M012,single_family,2,2790,2025-06-30,2025-07-02,pending
P0000032,L000006,M010,apartment,2,1351,2024-06-12,2024-06-13,occupied
P0000033,L000007,M012,single_family,3,2686,2022-11-14,2022-11-17,pending
P0000034,L000007,M012,single_family,1,2742,2022-11-15,,vacant
P0000035,L000007,M012,condo,5,2378,2022-11-15,,occupied
P0000036,L000007,M012,single_family,4,2084,2022-11-16,2022-11-17,occupied
P0000037,L000007,M012,townhouse,2,939,2022-11-22,2022-11-27,occupied
P0000038,L000007,M012,apartment,4,2055,2022-11-22,2022-11-24,occupied
P0000039,L000007,M012,single_family,5,2336,2022-11-14,2022-11-15,vacant
P0000040,L000007,M012,apartment,3,2344,2022-11-16,2022-11-16,vacant
P0000041,L000010,M002,apartment,4,862,2023-03-17,,occupied
P0000042,L000010,M002,townhouse,1,1237,2023-03-17,,occupied
P0000043,L000010,M002,duplex,5,1077,2023-03-16,,pending
P0000044,L000010,M002,apartment,4,1355,2023-03-22,,occupied
P0000045,L000010,M002,townhouse,3,2094,2023-03-20,2023-03-20,occupied
P0000046,L000011,M018,townhouse,4,1972,2022-02-13,,occupied
P0000047,L000018,M010,townhouse,5,1418,2024-12-14,2024-12-16,occupied
P0000048,L000018,M010,single_family,3,1618,2024-12-15,2024-12-16,vacant
P0000049,L000018,M010,single_family,2,748,2024-12-19,2024-12-19,occupied
P0000050,L000018,M010,condo,3,2254,2024-12-17,2024-12-21,vacant
