tenant_id,signup_date,acquisition_channel,metro_id
T0000001,2023-08-07,partnerships,M004
T0000002,2025-02-14,paid_search,M012
T0000003,2022-10-16,content_seo,M011
T0000004,2023-09-29,paid_social,M019
T0000005,2023-07-11,organic_search,M008
T0000006,2025-07-28,content_seo,M023
T0000007,2024-07-20,paid_search,M015
T0000008,2025-04-26,organic_search,M003
T0000009,2023-04-30,paid_search,M001
T0000010,2023-09-29,organic_search,M003
T0000011,2024-09-24,paid_search,M012
T0000012,2025-02-07,content_seo,M006
T0000013,2025-03-25,organic_search,M002
T0000014,2025-04-07,paid_social,M005
T0000015,2022-10-07,paid_social,M003
T0000016,2025-01-04,organic_search,M012
T0000017,2023-02-28,paid_search,M015
T0000018,2023-04-14,organic_search,M008
T0000019,2025-09-04,paid_search,M008
T0000020,2024-03-07,organic_search,M001
T0000021,2023-10-02,paid_social,M022
T0000022,2023-06-23,paid_social,M001
T0000023,2025-05-07,referral,M001
T0000024,2025-04-30,referral,M020
T0000025,2023-09-28,paid_social,M017
T0000026,2022-08-27,referral,M014
T0000027,2025-12-06,content_seo,M015
T0000028,2022-11-05,referral,M005
T0000029,2022-09-24,organic_search,M020
T0000030,2024-06-29,paid_social,M002
T0000031,2023-04-14,referral,M021
T0000032,2023-10-15,partnerships,M003
T0000033,2024-11-27,paid_search,M012
T0000034,2022-07-26,paid_search,M004
T0000035,2022-10-21,content_seo,M020
T0000036,2025-03-28,referral,M012
T0000037,2024-11-05,referral,M011
T0000038,2025-07-07,organic_search,M008
T0000039,2022-02-07,paid_social,M002
T0000040,2025-09-23,paid_social,M015
T0000041,2022-05-21,content_seo,M009
T0000042,2025-06-06,organic_search,M002
T0000043,2022-12-23,organic_search,M005
T0000044,2022-06-04,paid_social,M017
T0000045,2025-05-13,organic_search,M019
T0000046,2024-04-06,content_seo,M011
T0000047,2025-09-27,content_seo,M025
T0000048,2024-06-04,referral,M006
T0000049,2023-05-07,referral,M008
T0000050,2025-12-30,paid_search,M010
